iata_code,name,active
GC,Lina Congo,N
GD,Air Alpha Greenland,N
GD,GoDutch,N
GE,TransAsia Airways,Y
GF,Gulf Air Bahrain,Y
GG,Air Guyane,Y
GG,Cargo 360,N
GG,Air Comores International,N
GH,Globus,Y
GI,Itek Air,Y
GJ,Eurofly Service,Y
GJ,Compania Mexicargo,N
GK,Go One Airways,N
GK,Genesis,Y
GL,Miami Air International,N
GL,Air Greenland,Y
GM,Air Slovakia,N
GM,Flitestar,N
GM,German International Air Lines,Y
GN,GNB Linhas Aereas,Y
GN,Air Gabon,N
GO,Kuzu Airlines Cargo,Y
GP,Gadair European Airlines,Y
GP,Palau Trans Pacific Airline,N
GP,Gestair,N
GQ,Big Sky Airlines,N
GR,Aurigny Air Services,Y
GR,Gemini Air Cargo,N
GS,Air Foyle,Y
GS,Grant Aviation,N
GT,GB Airways,Y
GU,Gulisano airways,N
GV,Aero Flight,Y
GW,Kuban Airlines,Y
GX,Jetx Airlines,N
GX,GermanXL,Y
GX,GREAT LAKES (GX),N
GX,Pacificair,N
GY,Gabon Airlines,Y
GY,Guyana Airways 2000,N
GY,Tri-MG Intra Asia Airlines,N
GZ,Air Rarotonga,Y
H1,Hankook Air US,Y
H2,Sky Airline,Y
H3,Harbour Air (Priv),Y
H3,THREE,N
H4,Héli Sécurité Helicopter Airlines,N
H4,Inter Islands Airlines,N
H5,I-Fly,Y
H5,Hola Airlines,N
H5,Mavial Magadan Airlines,N
H6,Hageland Aviation Services,Y
H7,Eagle Air,Y
H8,Dalavia,Y
H9,Izair,N
H9,PEGASUS AIRLINES-,Y
H9,Air D'Ayiti,N
HA,Hawaiian Airlines,Y
HB,Harbor Airlines,N
HC,Aero-Tropics Air Services,N
HC,Himalayan Airlines,Y
HD,Hokkaido International Airlines,Y
HE,Luftfahrtgesellschaft Walter,Y
HF,Hapagfly,Y
HG,Niki,Y
HH,Hope Air,N
HH,Air Hamburg (AHO),Y
HI,Papillon Grand Canyon Helicopters,Y
HJ,Asian Express Airlines,N
HK,Yangon Airways,Y
HK,Four Star Aviation / Four Star Cargo,N
HM,Air Seychelles,Y
HN,Hankook Airline,Y
HN,Heavylift Cargo Airlines,N
HO,Juneyao Airlines,Y
HO,Antinea Airlines,N
HP,Phoenix Airways,N
HP,Pearl Airways,N
HP,Hawaiian Pacific Airlines,N
HP,America West Airlines,Y
HQ,Harmony Airways,N
HQ,HQ- Business Express,N
HR,China United Airlines,Y
HR,Hahn Air,N
HT,Aeromist-Kharkiv,N
HT,Hellenic Imperial Airways,Y
HU,Hainan Airlines,Y
HV,Transavia Holland,Y
HW,Hello,Y
HW,North-Wright Airways,N
HX,Hong Kong Airlines,Y
HY,Uzbekistan Airways,Y
HZ,Sat Airlines,Y
I2,Iberia Express,Y
I3,ATA Airlines (Iran),Y
I4,International AirLink,Y
I4,Interstate Airline,N
I5,Indonesia Sky,Y
I6,Sky Eyes,N
I6,MexicanaLink,Y
I7,Paramount Airways,Y
I8,IzAvia,Y
I9,Air Italy,Y
I9,Indigo,Y
IA,Iraqi Airways,Y
IB,Iberia Airlines,Y
IC,Indian Airlines,Y
ID,Interlink Airlines,Y
IE,Solomon Airlines,Y
IF,Islas Airways,Y
IG,Meridiana,Y
IH,Falcon Aviation,N
IH,Falcon Air (IH),N
II,IBC Airways,N
II,LSM International ,Y
IJ,T.A.T,N
IJ,Great Wall Airlines,N
IJ,Spring Airlines Japan,Y
IJ,InteliJet Airways,N
IJ,AirLiberté,N
IJ,Transport Aérien Transrégional,N
IK,Lankair,N
IK,Imair Airlines,Y
IL,Illinois Airways,N
IL,Fly Illi,N
IM,Menajet,N
IN,MAT Macedonian Airlines,Y
IO,Indonesian Airlines,Y
IP,Island Spirit,Y
IP,Atyrau Air Ways,N
IQ,Augsburg Airways,Y
IR,Iran Air,Y
IS,Island Airlines,Y
IT,Kingfisher Airlines,Y
